order_id,order_date,region,sales_channel,category,product,quantity,unit_price,discount_pct,gross_sales,net_revenue,cost,profit,month,quarter
101892,2025-03-18,West,Retail Store,Office Supplies,Sticky Notes,1,11.05,5.0,11.05,10.5,4.97,5.53,2025-03,2025Q1
105661,2025-08-10,West,Retail Store,Office Supplies,Whiteboard Marker Set,1,12.68,0.0,12.68,12.68,5.71,6.97,2025-08,2025Q3
108991,2025-12-21,East,Online,Furniture,Bookshelf,1,141.04,0.0,141.04,141.04,77.57,63.47,2025-12,2025Q4
101831,2025-03-15,South,Online,Furniture,Filing Cabinet,1,330.9,0.0,330.9,330.9,182.0,148.9,2025-03,2025Q1
103378,2025-05-15,West,Online,Home Appliances,Desk Fan,1,45.96,0.0,45.96,45.96,26.66,19.3,2025-05,2025Q2
105097,2025-07-20,South,Online,Electronics,USB-C Hub,1,28.23,0.0,28.23,28.23,16.94,11.29,2025-07,2025Q3
102603,2025-04-15,North,Online,Office Supplies,Whiteboard Marker Set,1,14.55,0.0,14.55,14.55,6.55,8.0,2025-04,2025Q2
106491,2025-09-12,South,Online,Electronics,Bluetooth Speaker,1,24.03,0.0,24.03,24.03,14.42,9.61,2025-09,2025Q3
105417,2025-08-01,West,Online,Office Supplies,Whiteboard Marker Set,1,5.87,0.0,5.87,5.87,2.64,3.23,2025-08,2025Q3
105528,2025-08-05,East,Retail Store,Office Supplies,Whiteboard Marker Set,2,23.83,0.0,47.66,47.66,21.45,26.21,2025-08,2025Q3
100798,2025-02-01,West,Online,Electronics,Wireless Mouse,1,40.0,0.0,40.0,40.0,24.0,16.0,2025-02,2025Q1
103545,2025-05-21,North,Retail Store,Electronics,Bluetooth Speaker,2,66.11,0.0,132.22,132.22,79.33,52.89,2025-05,2025Q2
108985,2025-12-21,East,Retail Store,Office Supplies,Desk Organizer,1,11.44,0.0,11.44,11.44,5.15,6.29,2025-12,2025Q4
103839,2025-06-02,North,Online,Home Appliances,LED Lamp,2,23.4,0.0,46.8,46.8,27.14,19.66,2025-06,2025Q2
102427,2025-04-08,East,Retail Store,Office Supplies,Notebook Pack,3,4.75,10.0,14.25,12.83,6.41,6.42,2025-04,2025Q2
105220,2025-07-24,North,Partner Reseller,Office Supplies,Sticky Notes,3,11.55,0.0,34.65,34.65,15.59,19.06,2025-07,2025Q3
106075,2025-08-26,East,Partner Reseller,Furniture,Office Chair,1,321.23,0.0,321.23,321.23,176.68,144.55,2025-08,2025Q3
103923,2025-06-05,North,Online,Electronics,Bluetooth Speaker,3,33.23,0.0,99.69,99.69,59.81,39.88,2025-06,2025Q2
100825,2025-02-02,North,Partner Reseller,Home Appliances,Electric Kettle,2,54.09,0.0,108.18,108.18,62.74,45.44,2025-02,2025Q1
108931,2025-12-18,West,Retail Store,Electronics,Wireless Mouse,1,61.02,15.0,61.02,51.87,36.61,15.26,2025-12,2025Q4
102606,2025-04-15,North,Online,Furniture,Office Chair,2,151.79,0.0,303.58,303.58,166.97,136.61,2025-04,2025Q2
106398,2025-09-09,East,Partner Reseller,Electronics,USB-C Hub,2,58.7,5.0,117.4,111.53,70.44,41.09,2025-09,2025Q3
103289,2025-05-12,East,Partner Reseller,Electronics,Webcam HD,2,74.15,0.0,148.3,148.3,88.98,59.32,2025-05,2025Q2
