order_id,order_date,region,sales_channel,category,product,quantity,unit_price,discount_pct,gross_sales,net_revenue,cost,profit
101892,2025-03-18,West,Retail Store,Office Supplies,Sticky Notes,1,11.05,5.0,11.05,10.5,4.97,5.53
105661,2025-08-10,West,Retail Store,Office Supplies,Whiteboard Marker Set,1,12.68,0.0,12.68,12.68,5.71,6.97
108991,2025-12-21,East,Online,Furniture,Bookshelf,1,141.04,0.0,141.04,141.04,77.57,63.47
101831,2025-03-15,South,Online,Furniture,Filing Cabinet,1,330.9,0.0,330.9,330.9,182.0,148.9
103378,2025-05-15,West,Online,Home Appliances,Desk Fan,1,45.96,0.0,45.96,45.96,26.66,19.3
105097,2025-07-20,South,Online,Electronics,USB-C Hub,1,28.23,0.0,28.23,28.23,16.94,11.29
102603,2025-04-15,North,Online,Office Supplies,Whiteboard Marker Set,1,14.55,0.0,14.55,14.55,6.55,8.0
106491,2025-09-12,South,Online,Electronics,Bluetooth Speaker,1,24.03,0.0,24.03,24.03,14.42,9.61
105417,2025-08-01,West,Online,Office Supplies,Whiteboard Marker Set,1,5.87,0.0,5.87,5.87,2.64,3.23
105528,2025-08-05,East,Retail Store,Office Supplies,Whiteboard Marker Set,2,23.83,0.0,47.66,47.66,21.45,26.21
100798,2025-02-01,West,Online,Electronics,Wireless Mouse,1,40.0,0.0,40.0,40.0,24.0,16.0
103545,2025-05-21,North,Retail Store,Electronics,Bluetooth Speaker,2,66.11,0.0,132.22,132.22,79.33,52.89
108985,2025-12-21,East,Retail Store,Office Supplies,Desk Organizer,1,11.44,0.0,11.44,11.44,5.15,6.29
103839,2025-06-02,North,Online,Home Appliances,LED Lamp,2,23.4,0.0,46.8,46.8,27.14,19.66
102427,2025-04-08,East,Retail Store,Office Supplies,Notebook Pack,3,4.75,10.0,14.25,12.83,6.41,6.42
105220,2025-07-24,North,Partner Reseller,Office Supplies,Sticky Notes,3,11.55,0.0,34.65,34.65,15.59,19.06
106075,2025-08-26,East,Partner Reseller,Furniture,Office Chair,1,321.23,0.0,321.23,321.23,176.68,144.55
103923,2025-06-05,North,Online,Electronics,Bluetooth Speaker,3,33.23,0.0,99.69,99.69,59.81,39.88
100825,2025-02-02,North,Partner Reseller,Home Appliances,Electric Kettle,2,54.09,0.0,108.18,108.18,62.74,45.44
108931,2025-12-18,West,Retail Store,Electronics,Wireless Mouse,1,61.02,15.0,61.02,51.87,36.61,15.26
102606,2025-04-15,North,Online,Furniture,Office Chair,2,151.79,0.0,303.58,303.58,166.97,136.61
106398,2025-09-09,East,Partner Reseller,Electronics,USB-C Hub,2,58.7,5.0,117.4,111.53,70.44,41.09
103289,2025-05-12,East,Partner Reseller,Electronics,Webcam HD,2,74.15,0.0,148.3,148.3,88.98,59.32
108051,2025-11-14,East,Online,Home Appliances,LED Lamp,1,31.74,15.0,31.74,26.98,18.41,8.57
103604,2025-05-23,South,Partner Reseller,Electronics,Webcam HD,3,77.76,0.0,233.28,233.28,139.97,93.31
106522,2025-09-13,North,Online,Home Appliances,LED Lamp,1,97.02,0.0,97.02,97.02,56.27,40.75
101395,2025-02-25,North,Retail Store,Office Supplies,Desk Organizer,3,7.63,0.0,22.89,22.89,10.3,12.59
103743,2025-05-29,South,Retail Store,Office Supplies,Whiteboard Marker Set,1,15.94,0.0,15.94,15.94,7.17,8.77
106088,2025-08-26,North,Online,Office Supplies,Desk Organizer,2,11.68,0.0,23.36,23.36,10.51,12.85
105398,2025-07-31,West,Online,Home Appliances,LED Lamp,2,28.83,0.0,57.66,57.66,33.44,24.22
108773,2025-12-12,North,Online,Electronics,Webcam HD,1,54.95,0.0,54.95,54.95,32.97,21.98
100158,2025-01-07,North,Online,Office Supplies,Whiteboard Marker Set,1,10.12,0.0,10.12,10.12,4.55,5.57
103930,2025-06-05,West,Online,Office Supplies,Whiteboard Marker Set,1,16.57,0.0,16.57,16.57,7.46,9.11
108078,2025-11-16,South,Online,Electronics,Bluetooth Speaker,1,36.16,10.0,36.16,32.54,21.7,10.84
104755,2025-07-07,West,Online,Electronics,Webcam HD,1,71.44,0.0,71.44,71.44,42.86,28.58
105443,2025-08-02,West,Online,Furniture,Office Chair,1,138.2,,138.2,138.2,76.01,62.19
106104,2025-08-27,West,Online,Office Supplies,Notebook Pack,1,18.02,10.0,18.02,16.22,8.11,8.11
104962,2025-07-14,West,Online,Electronics,USB-C Hub,2,54.16,0.0,108.32,108.32,64.99,43.33
106080,2025-08-26,West,Retail Store,Furniture,Office Chair,2,270.69,0.0,541.38,541.38,297.76,243.62
101390,2025-02-25,West,Online,Electronics,Webcam HD,1,32.33,10.0,32.33,29.1,19.4,9.7
102107,2025-03-26,North,Online,Home Appliances,Desk Fan,1,77.13,0.0,77.13,77.13,44.74,32.39
107686,2025-10-31,North,Retail Store,Office Supplies,Desk Organizer,2,22.24,0.0,44.48,44.48,20.02,24.46
108842,2025-12-15,North,Online,Home Appliances,Electric Kettle,1,96.1,0.0,96.1,96.1,55.74,40.36
103071,2025-05-03,South,Online,Electronics,Webcam HD,4,48.88,0.0,195.52,195.52,117.31,78.21
102279,2025-04-02,South,Online,Electronics,Webcam HD,1,29.28,0.0,29.28,29.28,17.57,11.71
107088,2025-10-08,West,Online,Electronics,Webcam HD,1,85.23,0.0,85.23,85.23,51.14,34.09
100251,2025-01-10,East,Retail Store,Electronics,Bluetooth Speaker,2,71.72,0.0,143.44,143.44,86.06,57.38
105009,2025-07-16,North,Online,Furniture,Filing Cabinet,1,71.7,15.0,71.7,60.94,39.44,21.5
106440,2025-09-10,South,Online,Office Supplies,Notebook Pack,1,15.03,0.0,15.03,15.03,6.76,8.27
104003,2025-06-09,North,Retail Store,Electronics,Bluetooth Speaker,2,86.21,0.0,172.42,172.42,103.45,68.97
108040,2025-11-14,West,Online,Home Appliances,Desk Fan,6,72.59,10.0,435.54,391.99,252.61,139.38
105866,2025-08-18,North,Online,Electronics,Webcam HD,4,43.78,10.0,175.12,157.61,105.07,52.54
103907,2025-06-04,East,Online,Furniture,Bookshelf,1,252.88,0.0,252.88,252.88,139.08,113.8
101344,2025-02-24,West,Retail Store,Home Appliances,Electric Kettle,1,82.25,0.0,82.25,82.25,47.7,34.55
101779,2025-03-13,West,Retail Store,Electronics,Bluetooth Speaker,1,67.59,0.0,67.59,67.59,40.55,27.04
104389,2025-06-23,South,Online,Electronics,Wireless Mouse,1,18.2,15.0,18.2,15.47,10.92,4.55
104750,2025-07-06,West,Online,Home Appliances,Electric Kettle,1,27.33,0.0,27.33,27.33,15.85,11.48
107529,2025-10-25,North,Online,Home Appliances,LED Lamp,2,22.71,0.0,45.42,45.42,26.34,19.08
104019,2025-06-09,East,Online,Office Supplies,Whiteboard Marker Set,4,17.94,0.0,71.76,71.76,32.29,39.47
105896,2025-08-19,West,Online,Office Supplies,Notebook Pack,2,19.03,0.0,38.06,38.06,17.13,20.93
109202,2025-12-30,West,Partner Reseller,Furniture,Standing Desk,1,74.3,10.0,74.3,66.87,40.87,26.0
102883,2025-04-25,East,Online,Furniture,Office Chair,1,187.73,0.0,187.73,187.73,103.25,84.48
104807,2025-07-08,South,Online,Electronics,USB-C Hub,1,42.6,15.0,42.6,36.21,25.56,10.65
108408,2025-11-28,South,Online,Office Supplies,Desk Organizer,1,19.83,0.0,19.83,19.83,8.92,10.91
105697,2025-08-11,North,Retail Store,Office Supplies,Sticky Notes,2,18.64,0.0,37.28,37.28,16.78,20.5
107818,2025-11-06,South,Online,Furniture,Bookshelf,1,134.57,0.0,134.57,134.57,74.01,60.56
108532,2025-12-02,East,Online,Home Appliances,Air Purifier,1,71.11,0.0,71.11,71.11,41.24,29.87
107654,2025-10-30,East,Online,Electronics,Webcam HD,1,29.37,10.0,29.37,26.43,17.62,8.81
106357,2025-09-07,North,Online,Electronics,Wireless Mouse,1,49.19,0.0,49.19,49.19,29.51,19.68
108649,2025-12-08,South,Online,Electronics,USB-C Hub,1,80.68,0.0,80.68,80.68,48.41,32.27
103451,2025-05-18,North,Partner Reseller,Office Supplies,Desk Organizer,1,14.81,0.0,14.81,14.81,6.66,8.15
105230,2025-07-24,West,Online,Office Supplies,Desk Organizer,1,3.87,5.0,3.87,3.68,1.74,1.94
100858,2025-02-04,North,Online,Electronics,Wireless Mouse,2,30.88,0.0,61.76,61.76,37.06,24.7
105158,2025-07-22,North,Online,Electronics,USB-C Hub,1,25.45,15.0,25.45,21.63,15.27,6.36
107337,2025-10-17,North,Online,Home Appliances,Desk Fan,1,68.69,10.0,68.69,61.82,39.84,21.98
100070,2025-01-03,North,Online,Electronics,USB-C Hub,2,79.85,15.0,159.7,135.74,95.82,39.92
107578,2025-10-27,North,Online,Home Appliances,Air Purifier,1,94.28,0.0,94.28,94.28,54.68,39.6
100041,2025-01-02,North,Online,Office Supplies,Desk Organizer,2,12.54,0.0,25.08,25.08,11.29,13.79
104595,2025-06-30,South,Partner Reseller,Office Supplies,Whiteboard Marker Set,2,8.48,0.0,16.96,16.96,7.63,9.33
101750,2025-03-12,West,Retail Store,Furniture,Office Chair,1,243.8,10.0,243.8,219.42,134.09,85.33
104243,2025-06-17,North,Online,Office Supplies,Notebook Pack,1,18.49,0.0,18.49,18.49,8.32,10.17
103594,2025-05-23,North,Partner Reseller,Office Supplies,Notebook Pack,1,17.6,0.0,17.6,17.6,7.92,9.68
100426,2025-01-17,West,Retail Store,Electronics,Bluetooth Speaker,1,56.77,0.0,56.77,56.77,34.06,22.71
101361,2025-02-24,West,Online,Electronics,Bluetooth Speaker,4,77.21,0.0,308.84,308.84,185.3,123.54
106879,2025-09-28,East,Online,Office Supplies,Notebook Pack,1,4.44,15.0,4.44,3.77,2.0,1.77
108315,2025-11-25,West,Partner Reseller,Office Supplies,Sticky Notes,2,14.56,0.0,29.12,29.12,13.1,16.02
105087,2025-07-19,South,Retail Store,Home Appliances,Air Purifier,1,97.06,5.0,97.06,92.21,56.29,35.92
106407,2025-09-09,North,Online,Office Supplies,Desk Organizer,1,21.39,0.0,21.39,21.39,9.63,11.76
106604,2025-09-17,East,Online,Home Appliances,Desk Fan,1,85.42,0.0,85.42,85.42,49.54,35.88
109213,2025-12-30,South,Partner Reseller,Electronics,USB-C Hub,1,82.44,5.0,82.44,78.32,49.46,28.86
103578,2025-05-23,South,Retail Store,Electronics,USB-C Hub,1,24.7,0.0,24.7,24.7,14.82,9.88
102403,2025-04-07,West,Online,Office Supplies,Sticky Notes,1,6.79,0.0,6.79,6.79,3.06,3.73
107184,2025-10-12,South,Online,Home Appliances,Electric Kettle,1,67.55,,67.55,67.55,39.18,28.37
100616,2025-01-24,North,Partner Reseller,Electronics,Bluetooth Speaker,1,65.94,0.0,65.94,65.94,39.56,26.38
104572,2025-06-29,East,Online,Furniture,Office Chair,3,165.51,0.0,496.53,496.53,273.09,223.44
103397,2025-05-16,East,Online,Furniture,Standing Desk,3,282.02,10.0,846.06,761.45,465.33,296.12
108011,2025-11-13,East,Online,Office Supplies,Desk Organizer,1,14.51,0.0,14.51,14.51,6.53,7.98
104788,2025-07-08,North,Online,Furniture,Filing Cabinet,1,299.48,0.0,299.48,299.48,164.71,134.77
105618,2025-08-08,North,Online,Furniture,Standing Desk,1,82.86,0.0,82.86,82.86,45.57,37.29
107298,2025-10-16,North,Retail Store,Electronics,Webcam HD,3,29.43,0.0,88.29,88.29,52.97,35.32
106147,2025-08-28,North,Online,Electronics,USB-C Hub,2,41.81,5.0,83.62,79.44,50.17,29.27
102051,2025-03-24,North,Retail Store,Electronics,Webcam HD,1,64.25,0.0,64.25,64.25,38.55,25.7
108179,2025-11-19,North,Online,Furniture,Filing Cabinet,1,301.54,15.0,301.54,256.31,165.85,90.46
105867,2025-08-18,East,Online,Home Appliances,Desk Fan,1,70.15,0.0,70.15,70.15,40.69,29.46
103714,2025-05-27,East,Retail Store,Home Appliances,Air Purifier,1,83.07,0.0,83.07,83.07,48.18,34.89
105093,2025-07-19,East,Online,Electronics,Wireless Mouse,1,39.61,0.0,39.61,39.61,23.77,15.84
106260,2025-09-03,West,Partner Reseller,Electronics,Bluetooth Speaker,1,33.37,0.0,33.37,33.37,20.02,13.35
109136,2025-12-26,South,Online,Office Supplies,Notebook Pack,3,18.06,0.0,54.18,54.18,24.38,29.8
101497,2025-03-02,North,Partner Reseller,Home Appliances,Air Purifier,2,90.8,0.0,181.6,181.6,105.33,76.27
108291,2025-11-24,East,Retail Store,Electronics,Bluetooth Speaker,1,17.76,0.0,17.76,17.76,10.66,7.1
106981,2025-10-02,North,Retail Store,Electronics,USB-C Hub,1,24.29,10.0,24.29,21.86,14.57,7.29
103363,2025-05-15,East,Online,Office Supplies,Notebook Pack,4,24.06,0.0,96.24,96.24,43.31,52.93
108151,2025-11-18,South,Online,Office Supplies,Whiteboard Marker Set,1,3.21,0.0,3.21,3.21,1.44,1.77
107531,2025-10-25,South,Online,Electronics,USB-C Hub,3,76.52,10.0,229.56,206.6,137.74,68.86
100929,2025-02-06,West,Online,Office Supplies,Desk Organizer,1,15.23,0.0,15.23,15.23,6.85,8.38
105232,2025-07-24,North,Online,Home Appliances,Desk Fan,1,104.1,0.0,104.1,104.1,60.38,43.72
108751,2025-12-11,West,Retail Store,Electronics,Wireless Mouse,1,37.1,0.0,37.1,37.1,22.26,14.84
105873,2025-08-18,North,Online,Electronics,USB-C Hub,1,67.78,0.0,67.78,67.78,40.67,27.11
108671,2025-12-09,North,Online,Furniture,Office Chair,1,65.15,0.0,65.15,65.15,35.83,29.32
105922,2025-08-20,West,Online,Electronics,Bluetooth Speaker,4,76.26,0.0,305.04,305.04,183.02,122.02
103513,2025-05-20,North,Online,Electronics,Bluetooth Speaker,1,83.93,10.0,83.93,75.54,50.36,25.18
105227,2025-07-24,South,Retail Store,Office Supplies,Desk Organizer,3,13.6,0.0,40.8,40.8,18.36,22.44
100961,2025-02-07,South,Partner Reseller,Electronics,Webcam HD,1,75.12,0.0,75.12,75.12,45.07,30.05
